Action,Thread,Timestamp
setProducts,JavaFX Application Thread,2020-05-17 17:51:27
getProducts,JavaFX Application Thread,2020-05-17 17:51:27
addProduct,JavaFX Application Thread,2020-05-17 17:51:41
setProducts,JavaFX Application Thread,2020-05-17 17:53:10
getProducts,JavaFX Application Thread,2020-05-17 17:53:10
setProducts,JavaFX Application Thread,2020-05-17 17:55:24
getProducts,JavaFX Application Thread,2020-05-17 17:55:24
setProducts,JavaFX Application Thread,2020-05-17 17:55:45
getProducts,JavaFX Application Thread,2020-05-17 17:55:45
addProduct,JavaFX Application Thread,2020-05-17 17:55:52
setProducts,JavaFX Application Thread,2020-05-17 17:56:56
getProducts,JavaFX Application Thread,2020-05-17 17:56:56
setProducts,JavaFX Application Thread,2020-05-17 17:57:05
getProducts,JavaFX Application Thread,2020-05-17 17:57:05
setProducts,JavaFX Application Thread,2020-05-17 17:57:17
getProducts,JavaFX Application Thread,2020-05-17 17:57:17
addProduct,JavaFX Application Thread,2020-05-17 17:57:58
setProducts,JavaFX Application Thread,2020-05-17 17:57:59
getProducts,JavaFX Application Thread,2020-05-17 17:57:59
updateProduct,JavaFX Application Thread,2020-05-17 17:58:04
setProducts,JavaFX Application Thread,2020-05-17 17:58:06
getProducts,JavaFX Application Thread,2020-05-17 17:58:06
updateProduct,JavaFX Application Thread,2020-05-17 17:58:09
setProducts,JavaFX Application Thread,2020-05-17 17:58:10
getProducts,JavaFX Application Thread,2020-05-17 17:58:10
updateProduct,JavaFX Application Thread,2020-05-17 17:58:27
setProducts,JavaFX Application Thread,2020-05-17 17:58:34
getProducts,JavaFX Application Thread,2020-05-17 17:58:34
addProduct,JavaFX Application Thread,2020-05-17 17:59:00
setProducts,JavaFX Application Thread,2020-05-17 17:59:02
getProducts,JavaFX Application Thread,2020-05-17 17:59:02
updateProduct,JavaFX Application Thread,2020-05-17 17:59:18
setProducts,JavaFX Application Thread,2020-05-17 18:00:03
getProducts,JavaFX Application Thread,2020-05-17 18:00:03
setProducts,JavaFX Application Thread,2020-05-17 18:00:10
getProducts,JavaFX Application Thread,2020-05-17 18:00:10
updateProduct,JavaFX Application Thread,2020-05-17 18:00:18
setProducts,JavaFX Application Thread,2020-05-17 18:00:19
getProducts,JavaFX Application Thread,2020-05-17 18:00:19
updateProduct,JavaFX Application Thread,2020-05-17 18:00:26
setProducts,JavaFX Application Thread,2020-05-17 18:00:27
getProducts,JavaFX Application Thread,2020-05-17 18:00:27
updateProduct,JavaFX Application Thread,2020-05-17 18:00:32
updateProduct,JavaFX Application Thread,2020-05-17 18:00:35
setProducts,JavaFX Application Thread,2020-05-17 18:00:36
getProducts,JavaFX Application Thread,2020-05-17 18:00:36
setProducts,JavaFX Application Thread,2020-05-17 18:00:39
getProducts,JavaFX Application Thread,2020-05-17 18:00:39
setProducts,JavaFX Application Thread,2020-05-17 18:00:40
getProducts,JavaFX Application Thread,2020-05-17 18:00:40
setProducts,JavaFX Application Thread,2020-05-17 18:01:22
getProducts,JavaFX Application Thread,2020-05-17 18:01:22
addProduct,JavaFX Application Thread,2020-05-17 18:02:03
setProducts,JavaFX Application Thread,2020-05-17 18:02:04
getProducts,JavaFX Application Thread,2020-05-17 18:02:04
setDepartments,JavaFX Application Thread,2020-05-17 18:02:07
getDepartments,JavaFX Application Thread,2020-05-17 18:02:07
setProducts,JavaFX Application Thread,2020-05-17 18:12:32
getProducts,JavaFX Application Thread,2020-05-17 18:12:32
setProducts,JavaFX Application Thread,2020-05-17 18:17:18
getProducts,JavaFX Application Thread,2020-05-17 18:17:18
setProducts,JavaFX Application Thread,2020-05-17 18:22:35
getProducts,JavaFX Application Thread,2020-05-17 18:22:35
setProducts,JavaFX Application Thread,2020-05-17 18:26:03
getProducts,JavaFX Application Thread,2020-05-17 18:26:03
updateProduct,JavaFX Application Thread,2020-05-17 18:26:08
setProducts,JavaFX Application Thread,2020-05-17 18:26:08
getProducts,JavaFX Application Thread,2020-05-17 18:26:08
updateProduct,JavaFX Application Thread,2020-05-17 18:26:14
setProducts,JavaFX Application Thread,2020-05-17 18:26:14
getProducts,JavaFX Application Thread,2020-05-17 18:26:14
setProducts,JavaFX Application Thread,2020-05-17 18:30:19
getProducts,JavaFX Application Thread,2020-05-17 18:30:19
